id,x,y,z,timestamp,tagType,floor,inZones,x_raw,y_raw,x_snap,y_snap
5410,59.46,23.695,5.011194112785190,1751871594338,BLE,5,"[""966"",""1600""]",54.105516515147400,23.470825976544400,59.4535,25.2794
5410,60.592,25.589,4.505980193482840,1751871588813,BLE,5,"[""966"",""1600""]",61.46416673319740,23.79051014802420,60.5934,25.284
5410,62.692,23.588,4.714496214404960,1751871582907,BLE,5,"[""966""]",59.33905910058890,27.509116493991800,62.6847,25.2925
5410,63.334,24.431,5.067080450274770,1751871577443,BLE,5,"[""966""]",64.19210099680130,22.05467389004030,63.331,25.2951
5410,66.159,26.81,4.568644516699110,1751871571431,BLE,5,"[""63""]",59.04316223870060,29.108753218900900,66.1648,25.3066
5410,69.841,25.219,7.841303356225420,1751871566242,BLE,5,"[""966""]",64.59580236193680,25.3976307648809,69.841,25.3215
5410,72.904,22.245,8.497024354013080,1751871560130,BLE,5,"[""966""]",69.22933785267820,25.269781185925700,72.9043,22.245
5410,73.139,19.544,5.793383226214500,1751871554697,BLE,5,"[""966""]",77.25748297353080,33.260632475286900,73.1385,19.5441
5410,74.702,17.821,-4.721287476333340,1751871549642,BLE,5,"[""64""]",62.896924520609900,22.838981420139700,74.698,16.5529
5410,75.75,15.755,4.979141606428440,1751871539852,BLE,5,"[""966""]",76.60581683833590,22.961738608223100,75.7527,16.5495
5410,74.542,14.994,16.74919216395740,1751871533999,BLE,5,"[""65""]",75.68922856185960,14.310384188653500,74.5471,16.5534
5410,72.216,17.688,14.158786137722900,1751871528461,BLE,5,"[""966""]",76.12474491254410,9.648619491161020,72.2121,16.561
5410,69.972,20.946,11.135995728787600,1751871522818,BLE,5,"[""966""]",84.4334953227968,12.113167233121000,69.9719,20.946
5410,66.92,23.461,5.521237048977240,1751871517440,BLE,5,"[""966""]",71.75349635781570,18.07107583812370,66.9125,25.3096
5410,63.979,25.933,5.584021996813780,1751871512406,BLE,5,"[""966""]",77.48047927787580,21.593201844132800,63.9819,25.2978
5410,61.881,25.494,5.411758632556080,1751871506586,BLE,5,"[""966""]",62.10255466573290,29.325524229880700,61.8817,25.2893
5410,58.851,23.791,4.678218046356870,1751871500723,BLE,5,"[""966"",""1600""]",58.08639842007880,28.197825345500500,58.8453,25.277
5410,57.702,20.088,4.84147721988976,1751871495286,BLE,5,"[""966"",""1600""]",57.674586662994900,26.633902050005500,57.7021,20.0876
5410,53.602,20.336,4.999993189497680,1751871489583,BLE,5,"[""966"",""1600""]",56.099155159720100,17.807782128348500,53.602,20.336
5410,50.611,19.634,4.999999536613040,1751871483244,BLE,5,"[""966"",""1600""]",55.97981652061870,21.546588686990100,50.6107,19.6339
5410,47.932,18.554,5.101308296383450,1751871477568,BLE,5,"[""966""]",48.22750860782500,23.775454251202300,47.9257,16.6398
5410,45.771,19.137,4.952015722111950,1751871471754,BLE,5,"[""966""]",47.82010932443610,15.05829799250570,45.7715,19.1369
5410,44.674,22.093,5.19177215308268,1751871466476,BLE,5,"[""966""]",48.95198070460460,23.58486352906880,44.6742,22.0932
5410,41.294,21.492,5.275218478347800,1751871460477,BLE,5,"[""966""]",39.64583750105700,18.298257214070100,41.294,21.4925
5410,39.465,22.609,5.130806748244150,1751871454147,BLE,5,"[""966""]",42.42304050114800,17.285264481493900,39.4645,22.6087
5410,38.561,21.868,5.40500265842556,1751871448245,BLE,5,"[""966""]",35.8354130269955,23.048608806758800,38.5605,21.8678
5410,37.544,20.042,5.1670846540896500,1751871443232,BLE,5,"[""966""]",39.385227699062900,20.408686093442500,37.5441,20.0421
5410,37.01,18.318,5.836517270217700,1751871434467,BLE,5,"[""966""]",40.21139111027450,21.667451462257400,37.0042,16.6752
5410,37.165,19.152,5.091089357760070,1751871427912,BLE,5,"[""966""]",34.62551345534290,17.264030495631900,37.1645,19.1521
5410,37.478,22.004,5.999156032179370,1751871422879,BLE,5,"[""966""]",39.9411466296805,24.216079384705300,37.4783,22.0038
5410,34.855,23.116,6.602284892038900,1751871417633,BLE,5,"[""966""]",37.74092957784520,23.90341684059830,34.8546,23.1161
5410,34.068,21.395,5.149741104074870,1751871411937,BLE,5,"[""966""]",36.71954505204320,24.265380648131200,34.0679,21.395
5410,34.654,21.921,5.625353631283770,1751871405161,BLE,5,"[""966""]",37.26532107782870,26.042471000025000,34.6535,21.9206
5410,35.487,21.684,5.400044557795320,1751871394514,BLE,5,"[""966""]",33.78439951483080,20.004240745662200,35.4873,21.6837
5410,38.467,21.237,4.824614246042850,1751871388873,BLE,5,"[""966""]",33.956083980558900,23.029844355880600,38.4671,21.2368
5410,40.845,21.127,5.2170536521120100,1751871382482,BLE,5,"[""966""]",33.74877196594380,22.98849291963440,40.8448,21.1271
5410,43.341,20.813,5.060196833468650,1751871374621,BLE,5,"[""966""]",40.9013645484667,20.212634575458100,43.3407,20.8126
5410,48.253,21.567,5.012960156070730,1751871367926,BLE,5,"[""966""]",43.63945498693980,20.48779284739480,48.2532,21.5667
5410,51.221,24.104,4.8559659203737300,1751871358572,BLE,5,"[""966"",""1600""]",46.538380156053900,23.023446492066200,51.2165,25.2461
5410,53.723,25.268,4.679768151411780,1751871353009,BLE,5,"[""966"",""1600""]",47.56581172663050,24.38963424565900,53.7226,25.2562
5410,54.258,26.425,5.021279627813410,1751871347063,BLE,5,[],49.71411589883950,27.53346118704490,54.2631,25.2584
5410,58.939,25.132,3.9508425353485900,1751871341264,BLE,5,"[""966"",""1600""]",56.853922862803800,27.082617647427400,58.9381,25.2773
